Yelp URL,Name,Street Address,Zip Code,City,State,Price Range,Phone,Rating,Number of Reviews,Website,Menu Link,Image 1,Image 2,Image 3,Category 1,Category 2,Category 3
https://www.yelp.com/biz/in-s%C4%ABt-coffee-buena-park,In-sīt Coffee,6930 Beach Blvd Ste L301,90621,Buena Park,CA,$,(714) 670-6958,4,583,,,https://s3-media0.fl.yelpcdn.com/bphoto/TgX8pHkGqVjAOV4dKgXHQw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/e9oSgMtBpklUinDUZ-UojQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/gJUxfajplGJQrLXVHRV-Ww/l.jpg,Coffee & Tea,Waffles,Breakfast & Brunch
https://www.yelp.com/biz/tierra-mia-coffee-west-covina-3,Tierra Mia Coffee,2301 S Azusa Ave ,91792,West Covina,CA,$$,,4,288,www.tierramiacoffee.com,,https://s3-media0.fl.yelpcdn.com/bphoto/qQC8B3ZjgjRFV6bjW-KEoQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/QhVb_DTg0tTSP01q99nPqQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/7RiGO2cFzAm2k-jHTr6goQ/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/julies-cafe-chino-3,Julie's Cafe,3746 Riverside Dr ,91710,Chino,CA,$$,(909) 992-0013,4.5,179,www.juliescafes.com,www.juliescafes.com/menu/,https://s3-media0.fl.yelpcdn.com/bphoto/__RSTK0KJaf3g0LH-ekECw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/bdPEPFHYwp0JhYVAg0Hw6Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/7d4bRBVagGL3EmBUIOYlVA/l.jpg,Bagels,Breakfast & Brunch,Cafes
https://www.yelp.com/biz/bonanza-bakery-and-cafe-diamond-bar,Bonanza Bakery & Cafe,"20657 Golden Springs Dr Ste - 104,105",91789,Diamond Bar,CA,$$,(909) 274-7121,4,76,www.bonanzabakerycafe.com,,https://s3-media0.fl.yelpcdn.com/bphoto/ca8BLo64Fp3R_VblFzcbXQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/FVqd4aB-IRx1Bmhz05zz1Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/3iL4thQ_iaOlAn5DVh9EUw/l.jpg,Desserts,Coffee & Tea,Breakfast & Brunch
https://www.yelp.com/biz/dripp-fullerton,Dripp, ,,500 N Harbor Blvd,,$,(714) 441-1003,4,938,www.dripp.com,,https://s3-media0.fl.yelpcdn.com/bphoto/zdCaorjnLEN9aM7dBVdH-Q/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Tpbn2spUXpZOXiOrcni2DA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/nXoE1Mp64njFcrYTUDWOgQ/l.jpg,Coffee & Tea,Ice Cream & Frozen Yogurt,Sandwiches
https://www.yelp.com/biz/s-and-j-gran-cafe-diamond-bar-2,S & J Gran Cafe,21050 Golden Springs Dr Ste C108,91789,Diamond Bar,CA,$$,(909) 551-0021,4,234,,,https://s3-media0.fl.yelpcdn.com/bphoto/a_zwijCtH8HHnTkG1OJKgQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/lbO1Z_Thd_nD54pH7O4rNg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/wPAAU42Eb-8ZU5hs9tN2ew/l.jpg,Cafes,Breakfast & Brunch,
https://www.yelp.com/biz/sul-and-beans-rowland-heights,Sul & Beans,1330 Fullerton Rd Unit 110,91748,Rowland Heights,CA,$$,(626) 581-1581,4,643,www.sulandbeans.com,www.sulandbeans.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/l4NVad7dh5HJHdUk1xJPag/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/TC-TF4xuExar6rXzX2A-xQ/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ku9I_QLVI7q40rsfObLjZw/l.jpg,Desserts,Shaved Ice,Coffee & Tea
https://www.yelp.com/biz/enchanted-coffee-bar-la-mirada-2,Enchanted Coffee Bar,13391 S Beach Blvd Ste A,90638,La Mirada,CA,$$,(562) 902-1982,4.5,390,www.enchantedcoffeebars.com,,https://s3-media0.fl.yelpcdn.com/bphoto/sRc3V28jLOCzsuPB9vCo1g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/ZKG0DZfTF6r1BBWNGRkl8g/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/Eh_-h-A51zVgWlgZck4BCA/l.jpg,Coffee & Tea,,
https://www.yelp.com/biz/ginkgo-katsu-diamond-bar,Ginkgo Katsu,1131 Brea Canyon Rd ,91789,Diamond Bar,CA,$$,(909) 895-7808,4.5,328,ginkgokatsu.com,www.ginkgokatsu.com/menu,https://s3-media0.fl.yelpcdn.com/bphoto/qkoUPC2g1nC03sfVglLMsA/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/GRYdvAkavAqKKfH-ezHYkw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/iZW9yprUr_mNyu83L15_bw/l.jpg,Japanese,Bubble Tea,Coffee & Tea
https://www.yelp.com/biz/king-coffee-usa-anaheim-3,King Coffee USA,321 W Katella Ste 142,92802,Anaheim,CA,$,(714) 864-3874,3.5,74,kingcoffeeusa.com,kingcoffeeusa.com/pages/menu,https://s3-media0.fl.yelpcdn.com/bphoto/zo5D1-EMWDUtlQWEhvTVnw/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/46CWX4tLuyPNWwKcdYG3rg/l.jpg,https://s3-media0.fl.yelpcdn.com/bphoto/vkmktNZ4YLwNQxzLu4hb4A/l.jpg,Coffee & Tea,Juice Bars & Smoothies,Sandwiches
